0  4.998755e-03  4.998755e-03 
1  3.751154e-03  3.751154e-03 
2  3.000011e-03  3.000011e-03 
3  2.400000e-03  2.400000e-03 
4  1.920000e-03  1.920000e-03 
5  1.536000e-03  1.536000e-03 
6  1.228800e-03  1.228800e-03 
7  9.830400e-04  9.830400e-04 
8  7.864320e-04  7.864320e-04 
9  6.291456e-04  6.291456e-04 
10  5.033165e-04  5.033165e-04 
11  4.026532e-04  4.026532e-04 
12  3.221225e-04  3.221225e-04 
13  2.576980e-04  2.576980e-04 
14  2.061584e-04  2.061584e-04 
15  1.649267e-04  1.649267e-04 
16  1.319414e-04  1.319414e-04 
17  1.055531e-04  1.055531e-04 
18  8.444249e-05  8.444249e-05 
19  6.755399e-05  6.755399e-05 
20  5.404320e-05  5.404320e-05 
21  4.323456e-05  4.323456e-05 
22  3.458765e-05  3.458765e-05 
23  2.767012e-05  2.767012e-05 
24  2.213609e-05  2.213609e-05 
25  1.770887e-05  1.770887e-05 
26  1.416710e-05  1.416710e-05 
27  1.133368e-05  1.133368e-05 
28  9.066944e-06  9.066944e-06 
29  7.253555e-06  7.253555e-06 
30  5.802844e-06  5.802844e-06 
31  4.642275e-06  4.642275e-06 
32  3.713820e-06  3.713820e-06 
33  2.971056e-06  2.971056e-06 
34  2.376845e-06  2.376845e-06 
35  1.901476e-06  1.901476e-06 
36  1.521181e-06  1.521181e-06 
37  1.216945e-06  1.216945e-06 
38  9.735557e-07  9.735557e-07 
39  7.788445e-07  7.788445e-07 
40  6.230756e-07  6.230756e-07 
41  4.984605e-07  4.984605e-07 
42  3.987684e-07  3.987684e-07 
43  3.190147e-07  3.190147e-07 
44  2.552118e-07  2.552118e-07 
45  2.041694e-07  2.041694e-07 
46  1.633355e-07  1.633355e-07 
47  1.306684e-07  1.306684e-07 
48  1.045347e-07  1.045347e-07 
49  8.362779e-08  8.362779e-08 
50  6.690224e-08  6.690224e-08 
51  5.352179e-08  5.352179e-08 
52  4.281743e-08  4.281743e-08 
53  3.425394e-08  3.425394e-08 
54  2.740316e-08  2.740316e-08 
55  2.192252e-08  2.192252e-08 
56  1.753802e-08  1.753802e-08 
57  1.403042e-08  1.403042e-08 
58  1.122433e-08  1.122433e-08 
59  8.979466e-09  8.979466e-09 
60  7.183573e-09  7.183573e-09 
61  5.746858e-09  5.746858e-09 
62  4.597487e-09  4.597487e-09 
63  3.677989e-09  3.677989e-09 
64  2.942391e-09  2.942391e-09 
65  2.353913e-09  2.353913e-09 
66  1.883131e-09  1.883131e-09 
67  1.506504e-09  1.506504e-09 
68  1.205204e-09  1.205204e-09 
69  9.641628e-10  9.641628e-10 
70  7.713303e-10  7.713303e-10 
71  6.170642e-10  6.170642e-10 
72  4.936514e-10  4.936514e-10 
73  3.949211e-10  3.949211e-10 
74  3.159369e-10  3.159369e-10 
75  2.527495e-10  2.527495e-10 
76  2.021996e-10  2.021996e-10 
77  1.617597e-10  1.617597e-10 
78  1.294077e-10  1.294077e-10 
79  1.035262e-10  1.035262e-10 
80  8.282095e-11  8.282095e-11 
81  6.625676e-11  6.625676e-11 
82  5.300541e-11  5.300541e-11 
83  4.240433e-11  4.240433e-11 
84  3.392346e-11  3.392346e-11 
85  2.713877e-11  2.713877e-11 
86  2.171102e-11  2.171102e-11 
87  1.736881e-11  1.736881e-11 
88  1.389505e-11  1.389505e-11 
89  1.111604e-11  1.111604e-11 
90  8.892834e-12  8.892834e-12 
91  7.114268e-12  7.114268e-12 
92  5.691413e-12  5.691413e-12 
93  4.553130e-12  4.553130e-12 
94  3.642504e-12  3.642504e-12 
95  2.914002e-12  2.914002e-12 
96  2.331201e-12  2.331201e-12 
97  1.864960e-12  1.864960e-12 
98  1.491968e-12  1.491968e-12 
99  1.193574e-12  1.193574e-12 
